Individus,BRUIT,CONSO_ELECTR,DEGUSTATION,NETTOYAGE_DETART,NOTICE_EMPLOI,PERSONNALISATION_EXPRESSO,PREPARATION_EXPRESSOS,QUALITE_EXPRESSO,QUALITE_MOUSSE,score
MAGIMIX Pixe Clips (M110),11.25,18.5,18.5,18.5,14.75,14.75,18.5,18.5,18.5,17.025
KRUPS Inissia,18.5,18.5,18.5,18.5,3.25,14.75,18.5,18.5,18.5,16.6
BOSCH Tassimo Suny,14.75,18.5,14.75,18.5,11.25,11.25,14.75,5.0,14.75,13.825
SAECO Poemia (HD8425),14.75,18.5,14.75,11.25,11.25,11.25,14.75,14.75,14.75,14.075
DE'LONGHI Dedica (ED680),18.5,18.5,11.25,14.75,18.5,18.5,18.5,11.25,11.25,15.225
MALONGO EK'OH 2,11.25,18.5,11.25,11.25,11.25,14.75,18.5,11.25,11.25,13.05
KRUPS Nescaf_ Dolce Gusto Oblo,11.25,8.25,14.75,14.75,11.25,11.25,11.25,14.75,14.75,12.7
