Individus,Taux_Brut_Reussite_Total_secteurs,Taux_Reussite_Attendu_Tous_secteurs,Taux_Acces_Brut_seconde_BAC,Taux_Acces_Brut_Premiere_Bac,Taux_Acces_Brut_Terminale_Bac,
ST PAUL LES DAX LYCEE HAROUN TAZIEFF (PROFESSIONNEL),83,88,70,81,84,
ST PIERRE DU MONT LYCEE PROFESSIONNEL JEAN CASSAIGNE,95,93,66,78,91,
ST VINCENT DE PAUL LYCEE PROFESSIONNEL VINCENT DE PAUL,82,93,42,64,82,
TARNOS LYCEE PROFESSIONNEL AMBROISE CROIZAT,78,82,58,68,77,
AGEN LYCEE PROFESSIONNEL ANTOINE LOMET,78,85,49,58,67,
CLAIRAC LYCEE PROFESSIONNEL PORTE DU LOT,78,81,66,75,76,
FOULAYRONNES LYCEE PROFESSIONNEL JEAN MONNET,85,82,65,81,89,
FUMEL LYCEE PROFESSIONNEL BENOIT D AZY,72,77,54,69,75,
MARMANDE LYCEE PROFESSIONNEL NOTRE DAME LA COMPASSION,96,88,64,81,94,
MARMANDE LYCEE TECH INNOVANTES - V DE GARONNE (PROFESSIONNEL),69,83,58,66,73,
NERAC LYCEE PROFESSIONNEL JACQUES DE ROMAS,82,91,60,72,81,
VILLENEUVE SUR LOT LYCEE PROFESSIONNEL DE L HABITAT LOUIS COUFFIGNAL,70,78,47,63,77,
VILLENEUVE SUR LOT LYCEE TERTIAIRE - SOCIAL G.LEYGUES (PROFESSIONNEL),80,83,76,80,82,
ANGLET LYCEE CANTAU (PROFESSIONNEL),89,86,84,91,94,
ANGLET LYCEE PROFESSIONNEL STE ANNE,96,93,76,94,98,
BAYONNE LYCEE PROFESSIONNEL LE GUICHOT,85,88,70,81,89,
BAYONNE LYCEE PROFESSIONNEL LOUIS DE FOIX,86,86,81,85,89,
BAYONNE LYCEE PROFESSIONNEL PAUL BERT,89,91,73,81,88,
BIARRITZ LYCEE HOTELLERIE BIARRITZ ATLANTIQUE (PROFESSIONNEL),99,93,79,87,94,
COARRAZE LYCEE PROFESSIONNEL D'ART GABRIEL HAURE-PLACE,86,85,50,58,93,
GELOS LYCEE PROFESSIONNEL DE L HABITAT,75,81,60,69,77,
HASPARREN LYCEE PROFESSIONNEL ST JOSEPH,88,85,75,85,95,
HENDAYE LYCEE PROFESSIONNEL AIZPURDI,88,96,90,94,97,
IGON LYCEE PROFESSIONNEL LE BEAU RAMEAU IGON,90,93,64,82,93,
JURANCON LYCEE PROFESSIONNEL ANDRE CAMPA,80,84,65,74,80,
MAULEON SOULE LYCEE PROFESSIONNEL JEAN-PIERRE CHAMPO,82,85,51,68,80,
MORLAAS LYCEE PROFESSIONNEL HAUTE VUE,97,94,74,86,96,
MOURENX LYCEE PROFESSIONNEL PIERRE ET MARIE CURIE,94,87,88,97,100,
OLORON STE MARIE LYCEE PROFESSIONNEL DU 4 SEPTEMBRE 1870,93,92,74,83,95,
OLORON STE MARIE LYCEE PROFESSIONNEL GUYNEMER,85,83,65,80,91,
ORTHEZ LYCEE PROFESSIONNEL FRANCIS JAMMES,87,91,67,74,88,
ORTHEZ LYCEE PROFESSIONNEL MOLIERE,86,84,69,82,91,
PAU LYCEE PROFESSIONNEL HONORE BARADAT,83,86,60,77,85,
PAU LYCEE PROFESSIONNEL IMMAC.CONCEPT.BEAU FRENE,90,85,67,89,95,
PAU LYCEE PROFESSIONNEL MONTPENSIER,93,92,75,84,92,
PAU LYCEE PROFESSIONNEL ST VINCENT DE PAUL,84,90,66,80,84,
PAU LYCEE SAINT CRICQ (PROFESSIONNEL),93,87,78,87,97,
ST JEAN DE LUZ LYCEE PROFESSIONNEL RAMIRO ARRUE,93,85,75,85,93,
ST JEAN PIED DE PORT LYCEE DE NAVARRE (PROFESSIONNEL),72,86,55,61,67,
USTARITZ LYCEE PROFESSIONNEL ST-JOSEPH,93,92,72,79,93,
0,0,0,0,0,0,
1,80,80,80,80,80,
2,90,90,90,90,90,
3,100,100,100,100,100,
